"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên chiến dịch","Lượt phân phối chiến dịch","Cài đặt ghi nhận","Kết quả","Chỉ báo kết quả","Người tiếp cận","Tần suất","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Kết thúc","Lượt hiển thị","CPM (Chi phí trên mỗi 1.000 lượt hiển thị) (VND)","Lượt click vào liên kết",shop_clicks,"CPC (chi phí trên mỗi lượt click vào liên kết) (VND)","CTR (tỷ lệ click vào liên kết)","Lượt click (tất cả)","CTR (Tất cả)","CPC (tất cả) (VND)","Lượt xem trang đích","Chi phí trên mỗi lượt xem trang đích (VND)"
2026-04-18,2026-04-18,ty15,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50001,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,ty16,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50999,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,ty17,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50888,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,"an8 6-4",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,200000,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,"an1 6-4",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,1005895,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,"an19  6-4",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,141700,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,qa1,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,622599,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,qa2,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,53222,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,qa3,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,619589,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
2026-04-18,2026-04-18,qa4,inactive,-,,,0,0,,51222,"Hàng ngày",0,"Đang diễn ra",0,0,,,,,0,0,0,,
