"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên nhóm quảng cáo","Phân phối nhóm quảng cáo","Cài đặt ghi nhận","Kết quả","Chỉ báo kết quả","Người tiếp cận","Tần suất","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Kết thúc","Bắt đầu","Lượt hiển thị","CPM (Chi phí trên mỗi 1.000 lượt hiển thị) (VND)","Lượt click vào liên kết",shop_clicks,"CPC (chi phí trên mỗi lượt click vào liên kết) (VND)","CTR (tỷ lệ click vào liên kết)","Lượt click (tất cả)","CTR (Tất cả)","CPC (tất cả) (VND)","Lượt xem trang đích","Chi phí trên mỗi lượt xem trang đích (VND)"
2026-04-20,2026-04-20,"Ghế Đa Năng Cho Bé 1021",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-10-21,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Bàn Phím Laser 1021",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-10-21,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Nồi Chiên Đa Năng OIMIS 1022",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,53000,"Hàng ngày",0,"Đang diễn ra",2025-10-21,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Máy In Nhiệt Mini 1022",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,51000,"Hàng ngày",0,"Đang diễn ra",2025-10-21,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Pin dự phòng Xiaomi 1022",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,290110,"Hàng ngày",0,"Đang diễn ra",2025-10-21,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Máy Hút Chân Không 1024",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-10-23,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Máy Sưởi Ấm Mùa Đông mini 1024",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,54000,"Hàng ngày",0,"Đang diễn ra",2025-10-23,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Máy Sưởi Mini 1026",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,78000,"Hàng ngày",0,"Đang diễn ra",2025-10-26,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Máy chiếu Goojodoq 1031",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,72200,"Hàng ngày",0,"Đang diễn ra",2025-10-31,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Đèn để bàn làm việc 1031",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,53100,"Hàng ngày",0,"Đang diễn ra",2025-10-31,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Pin Dự Phòng Ugreen 1105",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,280000,"Hàng ngày",0,"Đang diễn ra",2025-11-05,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Keycap MOD 23-8",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-08-23,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,maydocsach238,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-08-23,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,banphimcoaulaf87pro238,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-08-23,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,banphimcomercuryk1_238,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-08-23,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,mayintem238,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-08-23,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,keycapMOG238,inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-08-23,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Máy chơi game 248",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-08-24,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Đồng Hồ Báo Thức Capybara 24-8",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-08-24,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"ĐỒ CHƠI MÁY BẮN BÓNG RỔ CHO BÉ 24-8",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,70000,"Hàng ngày",0,"Đang diễn ra",2025-08-24,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Gia Dụng - Bếp nướng điện -25-8",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-08-25,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Gia Dụng - Noi chiên không dầu OIMIS 25-8",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,70000,"Hàng ngày",0,"Đang diễn ra",2025-08-25,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Gia Dụng - Ấm điện 1.5L - 258",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-08-25,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Gia Dụng - Ấm siêu tốc - 258",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-08-25,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"x Gia Dụng - Nồi đa năng - 268 - 35 - 44",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách chiến dịch",0,0,"Đang diễn ra",2025-08-26,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"x Gia Dụng - Nồi đa năng - 268 - 24 - 34",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,"Sử dụng ngân sách chiến dịch",0,0,"Đang diễn ra",2025-08-26,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Ca đa năng 0409",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-09-04,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Gia Dụng - Máy đun nước -25-8 - Bản sao 2",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,111000,"Hàng ngày",0,"Đang diễn ra",2025-09-11,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Gia Dụng - Máy đun nước -25-8 - Bản sao 1",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,300000,"Hàng ngày",0,"Đang diễn ra",2025-09-11,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Ca đa năng 0409 - Bản sao",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-09-11,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Ca đa năng 0409 - Bản sao",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-09-11,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Ca đa năng 0409 - Bản sao",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,50000,"Hàng ngày",0,"Đang diễn ra",2025-09-11,0,0,,,,,0,0,0,,
2026-04-20,2026-04-20,"Máy Đọc Sách",inactive,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,0,0,,59200,"Hàng ngày",0,"Đang diễn ra",2025-10-07,0,0,,,,,0,0,0,,
